GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DoxDB Sample Web Application,net.trajano.doxdb.sample.json,Horse,129,140,2,2,40,30,22,20,20,20
DoxDB Sample Web Application,net.trajano.doxdb.sample.json,Venue,94,0,4,0,25,0,15,0,13,0
DoxDB Sample Web Application,net.trajano.doxdb.sample.json,Ring,100,0,4,0,25,0,15,0,13,0
DoxDB Sample Web Application,net.trajano.doxdb.sample.json,Horse.Gender,10,76,1,3,1,14,2,6,1,5
DoxDB Sample Web Application,net.trajano.doxdb.sample.json,Country,10,2727,1,3,1,255,2,6,1,5
DoxDB Sample Web Application,net.trajano.doxdb.sample.ejb,MyEventHandler,3,0,0,0,1,0,1,0,1,0
DoxDB Sample Web Application,net.trajano.doxdb.sample.ejb,MyConfigurationProvider,3,0,0,0,1,0,1,0,1,0
DoxDB Sample Web Application,net.trajano.doxdb.sample.ejb,AccessControls,211,0,8,0,42,0,8,0,4,0
DoxDB Sample Web Application,net.trajano.doxdb.sample.web,HorseResource,21,0,0,0,3,0,2,0,2,0
DoxDB Sample Web Application,net.trajano.doxdb.sample.web,RestApplication,3,0,0,0,1,0,1,0,1,0
